import time: self [us] | cumulative | imported package
import time:       717 |        717 |                         numpy.lib.introspect
import time:      1020 |       1020 |                         numpy.lib.mixins
import time:       764 |        764 |                         numpy.lib.npyio
import time:       914 |        914 |                           numpy.lib._scimath_impl
import time:       780 |       1694 |                         numpy.lib.scimath
import time:       810 |        810 |                         numpy.lib.stride_tricks
import time:      2509 |      82250 |                       numpy.lib
import time:       975 |        975 |                       numpy._array_api_info
import time:      3858 |     956670 |                     numpy
import time:      1312 |       1312 |                     transformers.utils.logging
import time:    162541 |     162541 |                     transformers.utils.import_utils
import time:      3722 |       3722 |                       typing_extensions
import time:      3234 |       3234 |                       torch._utils
import time:      1863 |       1863 |                           torch._strobelight
import time:        75 |         75 |                               gc
import time:      1533 |       1607 |                             timeit
import time:      1183 |       2790 |                           torch._strobelight.cli_function_profiler
import time:      1590 |       6242 |                         torch._strobelight.compile_time_profiler
import time:      1764 |       8006 |                       torch._utils_internal
import time:      1113 |       1113 |                             torch._vendor
import time:      2103 |       3216 |                           torch._vendor.packaging
import time:      1118 |       1118 |                           torch._vendor.packaging._structures
import time:      5032 |       9365 |                         torch._vendor.packaging.version
import time:      1752 |       1752 |                         torch.version
import time:      1711 |      12827 |                       torch.torch_version
import time:       121 |        121 |                       torch._rocm_init
import time:        45 |         45 |                       _sysconfig
import time:      2753 |       2753 |                         torch._opaque_base
import time:     59950 |      62702 |                       torch._C
import time:      4635 |       4635 |                         torch.overrides
import time:      2798 |       7433 |                       torch._tensor
import time:      1754 |       1754 |                         torch.types
import time:      2663 |       4416 |                       torch.storage
import time:      2343 |       2343 |                         torch.amp.autocast_mode
import time:      2277 |       2277 |                         torch.amp.grad_scaler
import time:      2213 |       6833 |                       torch.amp
import time:      1797 |       1797 |                       torch.random
import time:      2458 |       2458 |                         difflib
import time:       580 |        580 |                           pwd
import time:       549 |        549 |                           grp
import time:      3073 |       4201 |                         tarfile
import time:      1634 |       1634 |                         torch._weights_only_unpickler
import time:      1631 |       1631 |                         torch._sources
import time:      2494 |      12417 |                       torch.serialization
import time:      2894 |       2894 |                       torch._tensor_str
import time:      3938 |       3938 |                         torch.cuda._device_limits
import time:      1817 |       1817 |                         torch.cuda.gds
import time:       501 |        501 |                             cuda
import time:        34 |        535 |                           cuda.bindings
import time:      1707 |       2242 |                         torch.cuda._utils
import time:       536 |        536 |                             cuda
import time:        38 |        573 |                           cuda.bindings
import time:      1786 |       2358 |                         torch.cuda.graphs
import time:      1498 |       1498 |                         torch.cuda.green_contexts
import time:      1549 |       1549 |                         torch.cuda.streams
import time:       698 |        698 |                         pynvml
import time:      1844 |       1844 |                           torch.cuda._memory_viz
import time:      2400 |       4243 |                         torch.cuda.memory
import time:      1392 |       1392 |                         torch.cuda.random
import time:      3213 |       3213 |                           torch.cuda.amp.autocast_mode
import time:      1241 |       1241 |                           torch.cuda.amp.common
